epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.19437098503112793,0.10989704728126526,0.843315839767456,1e-04,0.1500290334224701,0.337375283241272,0.3977326452732086,0.24913902580738068,0.7612877488136292,0.2249157428741455,0.423543781042099
1,0.27949798107147217,0.16407081484794617,0.812696099281311,1e-04,0.1851475089788437,0.3440963327884674,0.4966692328453064,0.3311367332935333,0.6564043760299683,0.3380315601825714,0.5437224507331848
2,0.3065662086009979,0.18287944793701172,0.7968649864196777,1e-04,0.20663204789161682,0.3478427827358246,0.5241855382919312,0.3560771942138672,0.6255174875259399,0.36026114225387573,0.597075343132019
3,0.32050541043281555,0.19288533926010132,0.7880221009254456,1e-04,0.22115951776504517,0.34693294763565063,0.5273458361625671,0.35899779200553894,0.6336981058120728,0.3333030641078949,0.6588894128799438
4,0.33576780557632446,0.2036987841129303,0.7773613333702087,1e-04,0.2373327910900116,0.3489154875278473,0.573587954044342,0.4031490981578827,0.5636813044548035,0.42108097672462463,0.6366908550262451
5,0.3438388407230377,0.20983551442623138,0.7709675431251526,1e-04,0.2515484094619751,0.34508076310157776,0.5915576815605164,0.42113280296325684,0.5429680347442627,0.4428025782108307,0.623724102973938
6,0.3471323251724243,0.2122255265712738,0.7678053379058838,1e-04,0.254817396402359,0.3479073941707611,0.5788806080818176,0.40829575061798096,0.5659170746803284,0.4015755355358124,0.689918577671051
7,0.35104599595069885,0.21552154421806335,0.7638400793075562,1e-04,0.26320192217826843,0.34705233573913574,0.599290132522583,0.42885303497314453,0.5337591767311096,0.4461497664451599,0.6760917901992798
8,0.3573472499847412,0.2201882302761078,0.7597818374633789,1e-04,0.271453857421875,0.3471734821796417,0.6166883707046509,0.4468163847923279,0.5064546465873718,0.4868825078010559,0.6536040306091309
9,0.3680669069290161,0.22836525738239288,0.7510430216789246,1e-04,0.28847765922546387,0.34823426604270935,0.6080363988876343,0.43776971101760864,0.5298932790756226,0.4404372572898865,0.7047508358955383
10,0.36576175689697266,0.2263457477092743,0.751500129699707,1e-04,0.2854122221469879,0.3489494025707245,0.6239356398582458,0.45439353585243225,0.5042089819908142,0.47384387254714966,0.6837292909622192
11,0.36840131878852844,0.22843673825263977,0.7495383024215698,1e-04,0.29139360785484314,0.3476603925228119,0.6242676973342896,0.4547259211540222,0.508415162563324,0.46270397305488586,0.7000963687896729
12,0.37262681126594543,0.23121921718120575,0.7464660406112671,1e-04,0.2966884672641754,0.347938597202301,0.629761278629303,0.4605982005596161,0.4923724830150604,0.49602434039115906,0.6914064884185791
13,0.3818000853061676,0.23874615132808685,0.7399166822433472,1e-04,0.31369462609291077,0.3481721878051758,0.6339285969734192,0.4650088846683502,0.4907096326351166,0.4851190745830536,0.6915308237075806
14,0.37731263041496277,0.23522305488586426,0.7412084341049194,1e-04,0.3092666566371918,0.34849050641059875,0.6440014839172363,0.47598734498023987,0.47612595558166504,0.5074609518051147,0.6864949464797974
15,0.37945863604545593,0.23679836094379425,0.7393893599510193,1e-04,0.3120983839035034,0.3494817912578583,0.6519602537155151,0.48471054434776306,0.4617323875427246,0.535454511642456,0.6714804172515869
16,0.3782552182674408,0.2359509915113449,0.7402932643890381,1e-04,0.3110930919647217,0.3484632968902588,0.6500616669654846,0.4825066924095154,0.4680660665035248,0.514549195766449,0.6931602358818054
17,0.3769039511680603,0.23492328822612762,0.7394086718559265,1e-04,0.3083087205886841,0.3510911762714386,0.6613377928733826,0.4951404631137848,0.44976821541786194,0.5589725375175476,0.6557263731956482
18,0.38589057326316833,0.24198786914348602,0.7336179614067078,1e-04,0.32288068532943726,0.3519388437271118,0.6415033340454102,0.47318825125694275,0.4827806353569031,0.491778701543808,0.72331303358078
19,0.38711604475975037,0.2428366094827652,0.7323057651519775,1e-04,0.3263678550720215,0.3511662185192108,0.6620122194290161,0.495827317237854,0.4512149393558502,0.5400946140289307,0.6863723397254944
20,0.3911505341529846,0.24602217972278595,0.7292439341545105,1e-04,0.33289963006973267,0.3512037396430969,0.6680108904838562,0.5025976896286011,0.4409124255180359,0.5667920708656311,0.6735849380493164
21,0.3893584907054901,0.24477159976959229,0.7285754680633545,1e-04,0.3331967294216156,0.3517318069934845,0.6570982933044434,0.49038195610046387,0.4607599079608917,0.524334728717804,0.7117475271224976
22,0.38951575756073,0.24460431933403015,0.7301511764526367,1e-04,0.33382028341293335,0.3499065339565277,0.6607808470726013,0.4944732189178467,0.45238739252090454,0.532555341720581,0.7135878205299377
23,0.3905114233493805,0.2456614375114441,0.7281181812286377,1e-04,0.3333946764469147,0.3527633547782898,0.6700547337532043,0.5048355460166931,0.4413464665412903,0.5439252257347107,0.7097522020339966
24,0.39898571372032166,0.25230297446250916,0.7207552194595337,5e-05,0.3472553789615631,0.3551487326622009,0.6578325629234314,0.49109700322151184,0.4611884653568268,0.5124046206474304,0.7362360954284668
25,0.402687132358551,0.25518080592155457,0.7178583145141602,5e-05,0.3556273579597473,0.35499852895736694,0.6747462749481201,0.510158121585846,0.4361421763896942,0.5515856742858887,0.7099806070327759
26,0.4011741280555725,0.2539069652557373,0.7190136909484863,5e-05,0.3531239330768585,0.355259507894516,0.6731800436973572,0.5083675980567932,0.43909144401550293,0.542792797088623,0.7163700461387634
27,0.3961966931819916,0.25009939074516296,0.7222787737846375,5e-05,0.34493687748908997,0.35420918464660645,0.6688960194587708,0.5034913420677185,0.446941077709198,0.529035210609436,0.7251136302947998
28,0.39530572295188904,0.2495129257440567,0.7235896587371826,5e-05,0.344916433095932,0.35294309258461,0.6767075657844543,0.5123820304870605,0.43417757749557495,0.5518186688423157,0.7114672064781189
29,0.402256041765213,0.25469207763671875,0.7177693247795105,5e-05,0.3557145297527313,0.35498929023742676,0.6765363812446594,0.5122156739234924,0.43593764305114746,0.5493825674057007,0.7112493515014648
30,0.39864999055862427,0.2519538998603821,0.7205345034599304,5e-05,0.34914758801460266,0.3550333082675934,0.6717602610588074,0.5067879557609558,0.440923273563385,0.5404350161552429,0.7273281812667847
31,0.396135538816452,0.2502555251121521,0.7216023206710815,5e-05,0.3458985686302185,0.3551919162273407,0.6787351965904236,0.5147157907485962,0.43285661935806274,0.552558958530426,0.711945652961731
32,0.4017221927642822,0.25451937317848206,0.7174013257026672,5e-05,0.3539891839027405,0.35775265097618103,0.6733613014221191,0.5085375308990479,0.4407128095626831,0.5387557744979858,0.7297570109367371
33,0.4021109342575073,0.2549770772457123,0.7169761657714844,5e-05,0.35594648122787476,0.3575449585914612,0.6827291250228882,0.5193014740943909,0.42734596133232117,0.559640109539032,0.7148536443710327
34,0.39708665013313293,0.25107643008232117,0.7205001711845398,5e-05,0.3496097922325134,0.35479986667633057,0.6699589490890503,0.5047008991241455,0.4458063840866089,0.5299872756004333,0.7400182485580444
35,0.40431535243988037,0.2564847767353058,0.7146242260932922,5e-05,0.36177343130111694,0.35672613978385925,0.6782757639884949,0.5141805410385132,0.4318649470806122,0.553540825843811,0.7263632416725159
36,0.4076085388660431,0.2591642141342163,0.7112877368927002,5e-05,0.3664966821670532,0.3588070869445801,0.6775422096252441,0.5133183598518372,0.4352797567844391,0.5442342758178711,0.7341058850288391
37,0.40307560563087463,0.25554153323173523,0.7145817279815674,2.5e-05,0.3619975745677948,0.35587531328201294,0.6901031732559204,0.5278773307800293,0.4180040955543518,0.5722286701202393,0.7067819237709045
38,0.4053996503353119,0.25723761320114136,0.7135040760040283,2.5e-05,0.3633734881877899,0.35755929350852966,0.6829531788825989,0.5195749402046204,0.42626017332077026,0.5615584850311279,0.7215564250946045
39,0.410986065864563,0.26185575127601624,0.7085884213447571,2.5e-05,0.36946961283683777,0.36128780245780945,0.6816025376319885,0.517986536026001,0.4299497604370117,0.5493454933166504,0.7331101298332214
40,0.40368491411209106,0.2560202181339264,0.7142115831375122,2.5e-05,0.36259743571281433,0.3563571870326996,0.685906708240509,0.522993803024292,0.42271724343299866,0.5639739036560059,0.7215331196784973
41,0.41068530082702637,0.261415958404541,0.7091730833053589,1.25e-05,0.3714168965816498,0.35944029688835144,0.6838184595108032,0.5205395221710205,0.42588087916374207,0.5572385191917419,0.7308458685874939
42,0.4107274115085602,0.26143601536750793,0.7095832228660583,1.25e-05,0.3722631335258484,0.3591970205307007,0.6855018138885498,0.5225061774253845,0.42352864146232605,0.5615906715393066,0.726726770401001
